seq,dataset,scan,eic,version,io_method,io_workers,shared_buffers,selectivity_rows,selectivity_pages,timing_cold,numeric
51,uniform,bitmapscan,1,master,worker,12,32GB,37.301,99.978,5378.466,1198.664
52,uniform,indexscan,64,prefetch-simple,io_uring,3,32GB,0.013,0.233,27.706,2.997
53,uniform,indexscan,64,prefetch-simple,worker,12,32GB,0.002,0.032,5.62,1.328
54,uniform,bitmapscan,0,prefetch-complex,worker,3,32GB,37.277,99.976,5221.068,1265.169
55,uniform,bitmapscan,1,master,worker,12,32GB,77.295,100.0,5565.761,1298.491
56,uniform,bitmapscan,16,prefetch-simple,worker,12,32GB,57.279,100.0,2834.104,1268.988
57,uniform,bitmapscan,16,prefetch-simple,sync,3,32GB,97.31,100.0,3450.073,1310.313
58,uniform,indexscan,64,prefetch-complex,worker,12,32GB,0.019,0.343,57.822,4.591
59,uniform,indexscan,64,prefetch-complex,io_uring,3,32GB,87.302,100.0,14840.509,6912.666
60,uniform,bitmapscan,64,prefetch-complex,worker,3,32GB,0.006,0.113,13.169,2.495
61,uniform,indexscan,16,master,worker,12,32GB,18.201,97.29,25145.034,1708.292
62,uniform,bitmapscan,1,master,worker,12,32GB,2.4,35.413,11819.969,357.13
63,uniform,indexscan,1,prefetch-complex,sync,3,32GB,77.288,100.0,43556.177,6066.531
64,uniform,indexscan,16,master,worker,3,32GB,0.002,0.037,13.721,1.372
65,uniform,bitmapscan,0,master,sync,3,32GB,0.009,0.164,54.896,2.921
66,uniform,indexscan,0,prefetch-complex,sync,3,32GB,67.291,100.0,29637.096,5369.634
67,uniform,bitmapscan,16,prefetch-simple,worker,3,32GB,67.302,100.0,2884.675,1259.85
68,uniform,bitmapscan,64,prefetch-simple,worker,3,32GB,1.599,25.185,2256.364,259.707
69,uniform,indexscan,0,prefetch-complex,io_uring,3,32GB,0.213,3.779,1351.974,23.14
70,uniform,bitmapscan,0,prefetch-complex,worker,12,32GB,8.095,78.098,5962.614,885.679
71,uniform,bitmapscan,0,master,worker,3,32GB,0.013,0.229,73.202,3.632
72,uniform,indexscan,64,master,worker,3,32GB,0.02,0.352,129.784,4.307
73,uniform,bitmapscan,0,prefetch-complex,worker,3,32GB,2.401,35.416,9231.797,364.648
74,uniform,indexscan,0,prefetch-complex,worker,12,32GB,87.312,100.0,31484.332,6790.755
75,uniform,bitmapscan,16,prefetch-simple,sync,3,32GB,0.142,2.53,317.653,18.656
76,uniform,bitmapscan,64,master,io_uring,3,32GB,0.138,2.461,330.007,17.669
77,uniform,bitmapscan,1,prefetch-complex,sync,3,32GB,97.312,100.0,5770.813,1430.614
78,uniform,bitmapscan,16,master,worker,3,32GB,0.013,0.239,27.004,3.638
79,uniform,bitmapscan,16,prefetch-complex,io_uring,3,32GB,0.013,0.234,26.054,3.516
80,uniform,bitmapscan,1,master,worker,12,32GB,5.418,63.374,13704.191,646.595
81,uniform,indexscan,16,prefetch-complex,worker,3,32GB,0.006,0.111,13.726,2.238
82,uniform,bitmapscan,0,master,io_uring,3,32GB,0.041,0.735,252.133,7.948
83,uniform,indexscan,0,master,worker,12,32GB,0.002,0.034,15.959,1.345
84,uniform,bitmapscan,16,master,io_uring,3,32GB,12.142,90.222,2605.87,969.364
85,uniform,bitmapscan,0,master,worker,3,32GB,27.31,99.659,5032.734,1168.668
86,uniform,bitmapscan,16,prefetch-simple,worker,12,32GB,3.598,48.275,3290.101,505.855
87,uniform,bitmapscan,16,prefetch-simple,io_uring,3,32GB,0.006,0.108,12.811,2.263
88,uniform,indexscan,64,prefetch-complex,worker,3,32GB,8.107,78.246,7537.315,677.055
89,uniform,bitmapscan,16,prefetch-complex,sync,3,32GB,77.295,100.0,3076.494,1410.998
90,uniform,bitmapscan,16,prefetch-simple,worker,12,32GB,77.295,100.0,2966.235,1274.818
91,uniform,indexscan,0,prefetch-simple,sync,3,32GB,5.408,63.238,21498.478,497.32
92,uniform,indexscan,1,master,worker,12,32GB,47.275,99.998,27933.505,4307.064
93,uniform,bitmapscan,64,master,worker,12,32GB,1.07,17.615,1695.437,153.84
94,uniform,bitmapscan,1,prefetch-simple,worker,3,32GB,0.004,0.073,33.035,1.871
95,uniform,bitmapscan,16,prefetch-complex,worker,3,32GB,0.003,0.053,8.392,1.815
96,uniform,bitmapscan,64,master,sync,3,32GB,18.218,97.325,2634.9,1051.431
97,uniform,bitmapscan,0,prefetch-complex,sync,3,32GB,3.585,48.151,10692.296,544.727
98,uniform,bitmapscan,64,master,sync,3,32GB,0.027,0.483,55.658,5.977
99,uniform,indexscan,1,master,sync,3,32GB,0.004,0.069,22.456,2.295
100,uniform,bitmapscan,1,prefetch-simple,worker,12,32GB,0.004,0.065,29.625,2.292
101,uniform,bitmapscan,64,prefetch-simple,worker,12,32GB,0.003,0.054,7.22,2.037
102,uniform,bitmapscan,1,prefetch-complex,io_uring,3,32GB,87.306,100.0,5786.801,1404.181
103,uniform,bitmapscan,0,master,io_uring,3,32GB,0.001,0.018,7.455,1.134
104,uniform,indexscan,64,prefetch-complex,sync,3,32GB,0.061,1.101,154.685,7.889
105,uniform,bitmapscan,64,prefetch-simple,sync,3,32GB,77.296,100.0,2946.231,1309.336
106,uniform,indexscan,16,prefetch-complex,io_uring,3,32GB,0.009,0.153,18.787,3.516
107,uniform,bitmapscan,16,master,sync,3,32GB,87.309,100.0,3038.962,1300.219
108,uniform,bitmapscan,64,master,sync,3,32GB,0.042,0.755,94.061,7.379
109,uniform,bitmapscan,16,prefetch-simple,io_uring,3,32GB,0.003,0.056,7.387,1.786
110,uniform,indexscan,1,prefetch-simple,worker,12,32GB,0.002,0.035,16.9,1.304
111,uniform,bitmapscan,16,prefetch-complex,worker,12,32GB,27.28,99.676,2729.026,1165.642
112,uniform,bitmapscan,0,prefetch-simple,sync,3,32GB,67.282,100.0,5546.86,1314.452
113,uniform,indexscan,64,prefetch-complex,io_uring,3,32GB,0.001,0.02,3.648,1.245
114,uniform,indexscan,64,prefetch-complex,io_uring,3,32GB,0.009,0.167,23.711,3.262
115,uniform,bitmapscan,64,prefetch-simple,worker,3,32GB,2.406,35.446,2955.898,351.003
116,uniform,bitmapscan,16,prefetch-complex,worker,12,32GB,0.716,12.12,1278.985,119.253
117,uniform,indexscan,0,prefetch-complex,io_uring,3,32GB,77.29,100.0,31330.12,6204.694
118,uniform,bitmapscan,16,prefetch-simple,sync,3,32GB,67.292,100.0,2892.584,1299.863
119,uniform,indexscan,0,master,io_uring,3,32GB,0.006,0.115,40.029,2.154
120,uniform,bitmapscan,64,master,worker,3,32GB,2.408,35.496,2876.614,371.204
121,uniform,bitmapscan,0,prefetch-complex,io_uring,3,32GB,0.001,0.019,8.46,1.311
122,uniform,bitmapscan,0,prefetch-complex,worker,12,32GB,0.714,12.084,3997.719,124.437
